Comment,Compound,Positive,Neutral,Negative
Here are a huge piles of deals and discounts (including free housing with AirBnb) for COVID-19 first responders ,0.6808,0.272,0.728,0.0
"If you had any lingering doubt that Airbnb serves to inflate rental costs, may I present Exhibit A. ",-0.3612,0.0,0.865,0.135
"I live in a residential Neighborhood. Recently the house across the street has become an AirBNB. During a pandemic I got people from NY, Texas, rolling in and out by the hour like everything is cool. This is f-ing outrageous. Nothing I can do about it.",0.2023,0.105,0.83,0.066
"so a customer service rep for @Airbnb just told me we are no longer eligible for a refund on our cancelled montreal trip, because the check-in date was 3/12, and COVID wasn’t declared a pandemic until 3/13. this is completely false.",-0.4939,0.0,0.896,0.104
A temporary-housing startup backed by Airbnb is aiding in the fight against the coronavirus pandemic by offering discounts to displaced students and healthcare workers ,-0.3612,0.045,0.85,0.105
Your vacation Airbnb has two Master Bedrooms... which one you choosing to sleep in!? #interdesign #blsckdesigners,0.0,0.0,1.0,0.0
Yep. That's how this damn thing is spreading to rural areas. And vacations seem to still be on! Our landlord also owns an Airbnb in our touristy area and he was bragging about how it's all booked up,-0.2998,0.053,0.865,0.082
"There are two main types of AirBnB owners here - those that bought more house than they can afford and want to close the gap by screwing over locals, and those that saw AirBnB as a business venture to profit off of. Both made poor decisions and should absolutely fail.",-0.6801,0.075,0.768,0.157
End of the sharing economy? Airbnb and Uber in trouble as they battle hygiene concerns ,-0.4173,0.137,0.589,0.274
Ban Airbnb. ,-0.5574,0.0,0.217,0.783
"Other possible uses for hotel rooms/AirBnB/resorts based on your replies: — for displaced college students — for ppl exposed awaiting testing (@theleoji ) — for medical personnel, clerks, delivery ppl to sleep near work w/o exposing commuters or family",-0.34,0.0,0.907,0.093
Airbnb hosts that want govt assistance - provide receipts of your transactions that actually comply w city bylaws &amp; base your revenue on that. Or else provide all receipts &amp; let tax authorities audit. No problems there.,-0.5574,0.034,0.838,0.128
Need to find Airbnb’s like these for the COVID-19 after party ,0.6369,0.366,0.634,0.0
Imagine an investment thats largely against the law but you do it anyway & make good money on it for years. Then you have the balls to whine & look for sympathy when you stop making money. In other words shut the fk up airbnb hosts. Investments mean you lose money too.,-0.3612,0.115,0.729,0.156
This boy on my insta got an Airbnb in NY last night with his 10+ friends to party and I just wanna know why some people are so fucking stupid.,0.2092,0.162,0.727,0.111
"I'm an illustrator from the UK and I'm currently very available for commission (including tight turnarounds, e.g same-day). I've worked with NYT, Financial Times, Airbnb, Wired (among others!) http://samdraws.com RTs appreciated! Wash your hands!",0.6341,0.112,0.888,0.0
"Yesterday afternoon @denschaal and I discussed the state of online travel in covid age, around six companies: Booking, Expedia, TripAdvisor, Airbnb, Google and Oyo. Informal but hopefully informative enough, have a listen... ",0.5499,0.109,0.891,0.0
Hoping COVID destroys the airbnb economy so I can afford to move to a nicer building in Toronto,0.2732,0.256,0.583,0.161
Feels like the Airbnb fallout in Toronto is going to be huge ,0.5859,0.324,0.676,0.0
"Airbnb's entire business model depends on subverting local regulations, threatening to sue local government, and turning over tax revenues from illegal stes in order to protect their market. That's their whole game and I hope they go bankrupt during this crisis.",-0.8807,0.101,0.627,0.271
god i hope airbnb goes bankrupt,0.1027,0.472,0.189,0.34
"28. AirBnB's sudden collapse, and the return of apartment units to the market in various cities has illustrated that the ""landlord economy"" isn't a thing that exists, nor should it exist.",-0.4939,0.0,0.901,0.099
